POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Harshal Patel,15,15,56.2,459,32,5/27,14.34,8.14,10.56,1,1
2,Avesh Khan,16,16,61,450,24,3/13,18.75,7.37,15.25,0,0
3,Jasprit Bumrah,14,14,55,410,21,3/36,19.52,7.45,15.71,0,0
4,Shardul Thakur,16,16,59.5,527,21,3/28,25.09,8.8,17.09,0,0
5,Mohammad Shami,14,14,52.4,395,19,3/21,20.78,7.5,16.63,0,0
6,Varun Chakaravarthy,17,17,68,448,18,3/13,24.88,6.58,22.66,0,0
7,Rashid Khan,14,14,56,375,18,3/36,20.83,6.69,18.66,0,0
8,Yuzvendra Chahal,15,15,53,374,18,3/11,20.77,7.05,17.66,0,0
9,Arshdeep Singh,12,12,41.2,342,18,5/32,19,8.27,13.77,0,1
10,Sunil Narine,14,14,56,361,16,4/21,22.56,6.44,21,1,0
11,Jason Holder,8,8,31.5,247,16,4/52,15.43,7.75,11.93,1,0
12,Axar Patel,12,12,46,306,15,3/21,20.4,6.65,18.4,0,0
13,Kagiso Rabada,15,15,56,456,15,3/36,30.4,8.14,22.4,0,0
14,Chris Morris,11,11,41,376,15,4/23,25.06,9.17,16.4,1,0
15,Dwayne Bravo,11,11,33.4,263,14,3/24,18.78,7.81,14.42,0,0
16,Chetan Sakariya,14,14,52,426,14,3/31,30.42,8.19,22.28,0,0
17,Deepak Chahar,15,15,54,451,14,4/13,32.21,8.35,23.14,2,0
18,Mustafizur Rahman,14,14,51.5,436,14,3/20,31.14,8.41,22.21,0,0
19,Ravindra Jadeja,16,16,49,346,13,3/13,26.61,7.06,22.61,0,0
20,Rahul Chahar,11,11,43,318,13,4/27,24.46,7.39,19.84,1,0
21,Lockie Ferguson,8,8,30,224,13,3/18,17.23,7.46,13.84,0,0
22,Trent Boult,14,14,51.2,406,13,3/28,31.23,7.9,23.69,0,0
23,Anrich Nortje,8,8,30.2,187,12,2/12,15.58,6.16,15.16,0,0
24,Ravi Bishnoi,9,9,35,222,12,3/24,18.5,6.34,17.5,0,0
25,Prasidh Krishna,10,10,38.3,351,12,3/30,29.25,9.11,19.25,0,0
26,Mohammed Siraj,15,15,52,353,11,3/27,32.09,6.78,28.36,0,0
27,Shivam Mavi,9,9,32.1,233,11,4/21,21.18,7.24,17.54,1,0
28,Josh Hazlewood,9,9,35,293,11,3/24,26.63,8.37,19.09,0,0
29,Andre Russell,10,8,19,188,11,5/15,17.09,9.89,10.36,0,1
30,Pat Cummins,7,7,26.5,237,9,3/24,26.33,8.83,17.88,0,0
31,Kyle Jamieson,9,9,28,269,9,3/41,29.88,9.6,18.66,0,0
32,Sam Curran,9,9,33,328,9,3/34,36.44,9.93,22,0,0
33,Rahul Tewatia,14,13,37,340,8,3/39,42.5,9.18,27.75,0,0
34,Nathan Coulter-Nile,5,5,20,127,7,4/14,18.14,6.35,17.14,1,0
35,Shahbaz Ahmed,11,6,14,92,7,3/7,13.14,6.57,12,0,0
36,Ravichandran Ashwin,13,13,44.4,331,7,2/27,47.28,7.41,38.28,0,0
37,Siddarth Kaul,8,8,30,247,7,2/31,35.28,8.23,25.71,0,0
38,Moeen Ali,15,10,25.2,161,6,3/7,26.83,6.35,25.33,0,0
39,Amit Mishra,4,4,14,109,6,4/24,18.16,7.78,14,1,0
40,Bhuvneshwar Kumar,11,11,42,335,6,1/16,55.83,7.97,42,0,0
41,Harpreet Brar,7,7,23,139,5,3/19,27.8,6.04,27.6,0,0
42,Kieron Pollard,14,9,13.1,95,5,2/8,19,7.21,15.8,0,0
43,Jimmy Neesham,3,3,9,66,5,3/12,13.2,7.33,10.8,0,0
44,Chris Woakes,3,3,11,82,5,2/18,16.4,7.45,13.2,0,0
45,Krunal Pandya,13,12,33.1,265,5,1/13,53,7.98,39.8,0,0
46,Khaleel Ahmed,7,7,27,219,5,3/21,43.8,8.11,32.4,0,0
47,Lungi Ngidi,3,3,12,125,5,3/28,25,10.41,14.4,0,0
48,Moises Henriques,5,5,10,45,4,3/12,11.25,4.5,15,0,0
49,Abhishek Sharma,8,6,10,64,4,2/4,16,6.4,15,0,0
50,Shakib Al Hasan,8,8,26,187,4,1/1,46.75,7.19,39,0,0
51,Lalit Yadav,7,5,14,101,4,2/13,25.25,7.21,21,0,0
52,Jaydev Unadkat,6,6,22,168,4,3/15,42,7.63,33,0,0
53,Chris Jordan,4,4,12,96,4,2/20,24,8,18,0,0
54,Kartik Tyagi,4,4,14,124,4,2/29,31,8.85,21,0,0
55,Tom Curran,3,3,11.2,104,4,3/29,26,9.17,17,0,0
56,Dan Christian,9,9,16.4,155,4,2/14,38.75,9.3,25,0,0
57,Riley Meredith,5,5,17,169,4,1/29,42.25,9.94,25.5,0,0
58,Washington Sundar,6,6,16,118,3,1/7,39.33,7.37,32,0,0
59,Tim Southee,3,3,12,95,3,2/26,31.66,7.91,24,0,0
60,Venkatesh Iyer,10,4,8.3,69,3,2/29,23,8.11,17,0,0
61,Glenn Maxwell,15,6,16,135,3,2/23,45,8.43,32,0,0
62,Sandeep Sharma,7,7,23.3,203,3,1/20,67.66,8.63,47,0,0
63,George Garton,5,5,15,135,3,1/27,45,9,30,0,0
64,Vijay Shankar,7,5,11,100,3,2/19,33.33,9.09,22,0,0
65,Adam Milne,4,4,14,131,3,2/21,43.66,9.35,28,0,0
66,Jhye Richardson,3,3,11,117,3,2/41,39,10.63,22,0,0
67,Imran Tahir,1,1,4,16,2,2/16,8,4,12,0,0
68,Mujeeb Ur Rahman,1,1,4,29,2,2/29,14.5,7.25,12,0,0
69,Marco Jansen,2,2,6,45,2,2/28,22.5,7.5,18,0,0
70,Jayant Yadav,5,5,17,130,2,1/25,65,7.64,51,0,0
71,Umran Malik,3,3,12,96,2,1/21,48,8,36,0,0
72,Deepak Hooda,12,7,16,136,2,1/15,68,8.5,48,0,0
73,T Natarajan,2,2,8,69,2,1/32,34.5,8.62,24,0,0
74,Marcus Stoinis,10,8,11.1,117,2,1/7,58.5,10.47,33.5,0,0
75,Mohammad Nabi,3,3,8,86,2,2/32,43,10.75,24,0,0
76,Daniel Sams,2,2,6,39,1,1/24,39,6.5,36,0,0
77,Mahipal Lomror,4,4,7,47,1,1/22,47,6.71,42,0,0
78,Ishant Sharma,3,3,12,97,1,1/26,97,8.08,72,0,0
79,Nathan Ellis,3,3,12,98,1,1/20,98,8.16,72,0,0
80,Fabian Allen,4,3,11,90,1,1/22,90,8.18,66,0,0
81,KM Asif,1,1,2.1,18,1,1/18,18,8.3,13,0,0
82,Murugan Ashwin,3,3,11,97,1,1/32,97,8.81,66,0,0
83,Shahbaz Nadeem,1,1,4,36,1,1/36,36,9,24,0,0
84,Abdul Samad,11,1,1,9,1,1/9,9,9,6,0,0
85,Piyush Chawla,1,1,4,38,1,1/38,38,9.5,24,0,0
86,Kane Richardson,1,1,3,29,1,1/29,29,9.66,18,0,0
87,Ishan Porel,1,1,4,39,1,1/39,39,9.75,24,0,0
88,Glenn Phillips,3,2,2,20,1,1/17,20,10,12,0,0
89,Lukman Meriwala,1,1,3,32,1,1/32,32,10.66,18,0,0
90,Riyan Parag,11,6,6.1,73,1,1/7,73,11.83,37,0,0
91,Aiden Markram,6,2,4,23,0,0/5,0,5.75,0,0,0
92,Nitish Rana,17,2,2,12,0,0/5,0,6,0,0,0
93,Ripal Patel,2,1,3,22,0,0/22,0,7.33,0,0,0
94,Sandeep Warrier,1,1,2,15,0,0/15,0,7.5,0,0,0
95,Kuldip Yadav,1,1,2,16,0,0/16,0,8,0,0,0
96,Tabraiz Shamsi,1,1,4,34,0,0/34,0,8.5,0,0,0
97,Mayank Markande,1,1,3,26,0,0/26,0,8.66,0,0,0
98,Harbhajan Singh,3,3,7,63,0,0/8,0,9,0,0,0
99,Jalaj Saxena,1,1,3,27,0,0/27,0,9,0,0,0
100,Jagadeesha Suchith,2,2,7,66,0,0/21,0,9.42,0,0,0
101,Akash Singh,1,1,4,39,0,0/39,0,9.75,0,0,0
102,Shivam Dube,9,4,5,49,0,0/5,0,9.8,0,0,0
103,Wanindu Hasaranga,2,2,6,60,0,0/20,0,10,0,0,0
104,Rohit Sharma,13,2,1.1,13,0,0/4,0,11.14,0,0,0
105,Adil Rashid,1,1,3,35,0,0/35,0,11.66,0,0,0
106,Ben Stokes,1,1,1,12,0,0/12,0,12,0,0,0
107,Dhawal Kulkarni,1,1,4,48,0,0/48,0,12,0,0,0
108,Shreyas Gopal,3,3,7,84,0,0/9,0,12,0,0,0
109,Kamlesh Nagarkoti,1,1,2,25,0,0/25,0,12.5,0,0,0
110,Navdeep Saini,2,2,4,52,0,0/25,0,13,0,0,0